strtno,year,period,rblval,deply,nesting2,size
49,1998,3,1.349166534,2,0,0.33
49,1998,4,2.165370227,2,0,0.33
49,1999,1,0.235641785,2,0,0.33
49,1999,2,0.338479721,2,0,0.33
49,1999,3,1.274534326,2,0,0.33
49,1999,4,2.15065859,2,0,0.33
50,1997,1,0.283804465,1,0,0
50,1997,2,0.291768284,1,0,0
50,1997,3,0.957426534,1,0,0
50,1997,4,2.129722799,1,0,0
50,1998,1,0.356591692,1,0,0
50,1998,2,0.415583049,1,0,0
50,1998,3,1.288080107,1,0,0
50,1998,4,2.185886297,1,0,0
50,1999,1,0.241197226,1,0,0
50,1999,2,0.342204532,1,0,0
50,1999,3,1.254778267,1,0,0
50,1999,4,2.091600382,1,0,0
51,1997,1,0.282717777,1,0,6.62
51,1997,2,0.294656347,1,1,6.62
51,1997,3,0.96482927,1,NA,6.62
51,1997,4,1.974223049,1,NA,6.62
51,1998,1,0.366800175,1,1,6.62
51,1998,2,0.444564159,1,NA,6.62
51,1998,3,1.259378997,1,NA,6.62
51,1998,4,2.021891504,1,0,6.62
51,1999,1,0.248643551,1,0,6.62
51,1999,2,0.344869243,1,1,6.62
51,1999,3,1.211342782,1,NA,6.62
51,1999,4,1.966738332,1,0,6.62
52,1997,1,0.095157703,2,0,0
52,1997,2,0.095170887,2,1,0
52,1997,3,0.857002238,2,0,0
52,1997,4,2.015324845,2,0,0
52,1998,1,0.127789703,2,0,0
52,1998,2,0.185648857,2,0,0
52,1998,3,1.244721495,2,0,0
52,1998,4,2.088810682,2,0,0
52,1999,1,0.110607676,2,0,0
52,1999,2,0.228769706,2,0,0
52,1999,3,1.292040901,2,0,0
52,1999,4,2.072732288,2,0,0
53,1997,1,0.106916652,2,0,5.71
53,1997,2,0.106928237,2,0,5.71
53,1997,3,0.858978724,2,0,5.71
53,1997,4,1.97964483,2,0,5.71
53,1998,1,0.139766444,2,0,5.71
53,1998,2,0.19502798,2,0,5.71
53,1998,3,1.212088724,2,0,5.71
53,1998,4,2.054882341,2,0,5.71
53,1999,1,0.119722937,2,0,5.71
53,1999,2,0.236450964,2,0,5.71
53,1999,3,1.280140709,2,0,5.71
53,1999,4,2.026897676,2,0,5.71
54,1997,1,0.123520197,1,0,21.68
54,1997,2,0.126504873,1,0,21.68
54,1997,3,0.878104815,1,0,21.68
54,1997,4,1.953725565,1,0,21.68
54,1998,1,0.156426344,1,0,21.68
54,1998,2,0.213902772,1,0,21.68
54,1998,3,1.194553131,1,0,21.68
54,1998,4,2.01930332,1,0,21.68
54,1999,1,0.136558371,1,0,21.68
54,1999,2,0.255837495,1,0,21.68
54,1999,3,1.281397378,1,0,21.68
54,1999,4,1.994937404,1,0,21.68
55,1997,1,0.25343207,2,0,0
55,1997,2,0.271820271,2,1,0
55,1997,3,0.952367619,2,0,0
55,1997,4,1.935558847,2,0,0
55,1998,1,0.325137328,2,0,0
55,1998,2,0.381478547,2,0,0
55,1998,3,1.231608241,2,0,0
55,1998,4,2.038970797,2,1,0
55,1999,1,0.218974886,2,0,0
55,1999,2,0.321163871,2,1,0
55,1999,3,1.151932133,2,0,0
55,1999,4,1.954427708,2,0,0
56,1997,1,0.196589152,2,0,14.05
56,1997,2,0.213326648,2,0,14.05
56,1997,3,0.923888208,2,1,14.05
56,1997,4,1.848138104,2,NA,14.05
56,1998,1,0.260702318,2,1,14.05
56,1998,2,0.316546363,2,NA,14.05
56,1998,3,1.192741241,2,NA,14.05
56,1998,4,1.917429819,2,0,14.05
57,1997,1,0.229957652,2,0,0
57,1997,2,0.248289984,2,0,0
57,1997,3,0.898873822,2,0,0
57,1997,4,1.826031264,2,0,0
57,1998,1,0.308490056,2,0,0
57,1998,2,0.364177926,2,0,0
57,1998,3,1.17931219,2,0,0
57,1998,4,1.905028192,2,0,0
57,1999,1,0.230450888,2,0,0
57,1999,2,0.332556153,2,0,0
57,1999,3,1.143977942,2,0,0
57,1999,4,1.840910061,2,0,0
58,1997,1,0.152426834,1,0,27.39
58,1997,2,0.158422436,1,0,27.39
58,1997,3,0.929940365,1,0,27.39
58,1997,4,1.909451542,1,0,27.39
58,1998,1,0.183520736,1,0,27.39
58,1998,2,0.243432249,1,0,27.39
58,1998,3,1.232117934,1,0,27.39
58,1998,4,1.950229217,1,0,27.39
58,1999,1,0.123677282,1,0,27.39
58,1999,2,0.249138793,1,0,27.39
58,1999,3,1.243824246,1,0,27.39
58,1999,4,1.831379444,1,0,27.39
59,1998,1,0.209797657,2,1,27.39
59,1998,2,0.271435384,2,0,27.39
59,1998,3,1.281835753,2,1,27.39
59,1998,4,2.099880895,2,0,27.39
60,1997,1,0.122737836,1,0,1.44
60,1997,2,0.127129873,1,1,1.44
60,1997,3,0.800527741,1,NA,1.44
60,1997,4,1.79004372,1,0,1.44
60,1998,1,0.158454381,1,1,1.44
60,1998,2,0.228804804,1,NA,1.44
60,1998,3,1.053912813,1,NA,1.44
60,1998,4,1.82418404,1,1,1.44
60,1999,1,0.127453572,1,1,1.44
60,1999,2,0.244571818,1,NA,1.44
60,1999,3,1.137752419,1,NA,1.44
